surface_class,rent_min,rent_avg,rent_max,post_code,insee_code,city_label
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77480,77051,Bray-sur-Seine
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77480,77051,Bray-sur-Seine
3,pour communiquer des données fiables,,pour communiquer des données fiables,77480,77051,Bray-sur-Seine
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77720,77052,Bréau
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77720,77052,Bréau
3,pour communiquer des données fiables,,pour communiquer des données fiables,77720,77052,Bréau
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77170,77053,Brie-Comte-Robert
2,580, 709,850,77170,77053,Brie-Comte-Robert
3,580,,850,77170,77053,Brie-Comte-Robert
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77940,77054,La Brosse-Montceaux
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77940,77054,La Brosse-Montceaux
3,pour communiquer des données fiables,,pour communiquer des données fiables,77940,77054,La Brosse-Montceaux
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77177,77055,Brou-sur-Chantereine
2,869, 888,900,77177,77055,Brou-sur-Chantereine
3,869,,900,77177,77055,Brou-sur-Chantereine
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77056,Burcy
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77056,Burcy
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77056,Burcy
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77750,77057,Bussières
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77750,77057,Bussières
3,pour communiquer des données fiables,,pour communiquer des données fiables,77750,77057,Bussières
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77600,77058,Bussy-Saint-Georges
2,690, 882,1100,77600,77058,Bussy-Saint-Georges
3,690,,1100,77600,77058,Bussy-Saint-Georges
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77600,77059,Bussy-Saint-Martin
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77600,77059,Bussy-Saint-Martin
3,pour communiquer des données fiables,,pour communiquer des données fiables,77600,77059,Bussy-Saint-Martin
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77060,Buthiers
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77060,Buthiers
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77060,Buthiers
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77130,77061,Cannes-Écluse
2,540, 586,625,77130,77061,Cannes-Écluse
3,540,,625,77130,77061,Cannes-Écluse
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77400,77062,Carnetin
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77400,77062,Carnetin
3,pour communiquer des données fiables,,pour communiquer des données fiables,77400,77062,Carnetin
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77515,77063,La Celle-sur-Morin
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77515,77063,La Celle-sur-Morin
3,pour communiquer des données fiables,,pour communiquer des données fiables,77515,77063,La Celle-sur-Morin
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77930,77065,Cély
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77930,77065,Cély
3,pour communiquer des données fiables,,pour communiquer des données fiables,77930,77065,Cély
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77320,77066,Cerneux
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77320,77066,Cerneux
3,pour communiquer des données fiables,,pour communiquer des données fiables,77320,77066,Cerneux
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77240,77067,Cesson
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77240,77067,Cesson
3,pour communiquer des données fiables,,pour communiquer des données fiables,77240,77067,Cesson
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77520,77068,Cessoy-en-Montois
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77520,77068,Cessoy-en-Montois
3,pour communiquer des données fiables,,pour communiquer des données fiables,77520,77068,Cessoy-en-Montois
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77930,77069,Chailly-en-Bière
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77930,77069,Chailly-en-Bière
3,pour communiquer des données fiables,,pour communiquer des données fiables,77930,77069,Chailly-en-Bière
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77120,77070,Chailly-en-Brie
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77120,77070,Chailly-en-Brie
3,pour communiquer des données fiables,,pour communiquer des données fiables,77120,77070,Chailly-en-Brie
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77460,77071,Chaintreaux
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77460,77071,Chaintreaux
3,pour communiquer des données fiables,,pour communiquer des données fiables,77460,77071,Chaintreaux
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77171,77072,Chalautre-la-Grande
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77171,77072,Chalautre-la-Grande
3,pour communiquer des données fiables,,pour communiquer des données fiables,77171,77072,Chalautre-la-Grande
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77160,77073,Chalautre-la-Petite
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77160,77073,Chalautre-la-Petite
3,pour communiquer des données fiables,,pour communiquer des données fiables,77160,77073,Chalautre-la-Petite
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77144,77075,Chalifert
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77144,77075,Chalifert
3,pour communiquer des données fiables,,pour communiquer des données fiables,77144,77075,Chalifert
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77650,77076,Chalmaison
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77650,77076,Chalmaison
3,pour communiquer des données fiables,,pour communiquer des données fiables,77650,77076,Chalmaison
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77910,77077,Chambry
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77910,77077,Chambry
3,pour communiquer des données fiables,,pour communiquer des données fiables,77910,77077,Chambry
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77260,77078,Chamigny
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77260,77078,Chamigny
3,pour communiquer des données fiables,,pour communiquer des données fiables,77260,77078,Chamigny
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77430,77079,Champagne-sur-Seine
2,440, 585,720,77430,77079,Champagne-sur-Seine
3,440,,720,77430,77079,Champagne-sur-Seine
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77560,77080,Champcenest
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77560,77080,Champcenest
3,pour communiquer des données fiables,,pour communiquer des données fiables,77560,77080,Champcenest
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77390,77081,Champdeuil
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77390,77081,Champdeuil
3,pour communiquer des données fiables,,pour communiquer des données fiables,77390,77081,Champdeuil
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77720,77082,Champeaux
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77720,77082,Champeaux
3,pour communiquer des données fiables,,pour communiquer des données fiables,77720,77082,Champeaux
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77420,77083,Champs-sur-Marne
2,700, 838,1000,77420,77083,Champs-sur-Marne
3,850, 876,895,77420,77083,Champs-sur-Marne
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77660,77084,Changis-sur-Marne
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77660,77084,Changis-sur-Marne
3,pour communiquer des données fiables,,pour communiquer des données fiables,77660,77084,Changis-sur-Marne
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77600,77085,Chanteloup-en-Brie
2,780, 873,1000,77600,77085,Chanteloup-en-Brie
3,780,,1000,77600,77085,Chanteloup-en-Brie
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77720,77086,La Chapelle-Gauthier
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77720,77086,La Chapelle-Gauthier
3,pour communiquer des données fiables,,pour communiquer des données fiables,77720,77086,La Chapelle-Gauthier
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77540,77087,La Chapelle-Iger
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77540,77087,La Chapelle-Iger
3,pour communiquer des données fiables,,pour communiquer des données fiables,77540,77087,La Chapelle-Iger
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77760,77088,La Chapelle-la-Reine
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77760,77088,La Chapelle-la-Reine
3,pour communiquer des données fiables,,pour communiquer des données fiables,77760,77088,La Chapelle-la-Reine
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77370,77089,La Chapelle-Rablais
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77370,77089,La Chapelle-Rablais
3,pour communiquer des données fiables,,pour communiquer des données fiables,77370,77089,La Chapelle-Rablais
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77160,77090,La Chapelle-Saint-Sulpice
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77160,77090,La Chapelle-Saint-Sulpice
3,pour communiquer des données fiables,,pour communiquer des données fiables,77160,77090,La Chapelle-Saint-Sulpice
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77610,77091,Les Chapelles-Bourbon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77610,77091,Les Chapelles-Bourbon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77610,77091,Les Chapelles-Bourbon
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77320,77093,La Chapelle-Moutils
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77320,77093,La Chapelle-Moutils
3,pour communiquer des données fiables,,pour communiquer des données fiables,77320,77093,La Chapelle-Moutils
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77410,77094,Charmentray
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77410,77094,Charmentray
3,pour communiquer des données fiables,,pour communiquer des données fiables,77410,77094,Charmentray
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77410,77095,Charny
2,760, 763,765,77410,77095,Charny
3,760,,765,77410,77095,Charny
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77590,77096,Chartrettes
2,650, 711,800,77590,77096,Chartrettes
3,650,,800,77590,77096,Chartrettes
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77320,77097,Chartronges
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77320,77097,Chartronges
3,pour communiquer des données fiables,,pour communiquer des données fiables,77320,77097,Chartronges
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77370,77098,Châteaubleau
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77370,77098,Châteaubleau
3,pour communiquer des données fiables,,pour communiquer des données fiables,77370,77098,Châteaubleau
1,Nous ne possédons pas assez de,,Nous ne possédons pas assez de,77570,77099,Château-Landon
2,loyers de T2 dans cette ville,,loyers de T2 dans cette ville,77570,77099,Château-Landon
3,pour communiquer des données fiables,,pour communiquer des données fiables,77570,77099,Château-Landon
1,Pas assez de loyer de référence,,Pas assez de loyer de référence,77820,77100,Le Châtelet-en-Brie
2,540, 623,700,77820,77100,Le Châtelet-en-Brie
